"NC Code","Brand Name","Total Available","Size","Cases Per Pallet","Supplier","Supplier Allotment","Broker Name",
="00009","John J. Bowman Single Barrel 10Y","0",".75L","204","Sazerac Co.","204","Rick Henry",
="00026","Wyoming Whiskey Small Batch","55",".75L","120","Edrington Americas","320","Lauren Wiseman",
="00028","Garrison Brothers Small Batch Bourbon","0",".75L","100","Garrison Brothers Distillery","300","Lauren Wiseman",
="00029","Garrison Brothers Single Barrel Sampler","121",".75L","200","Garrison Brothers Distillery","0","Lauren Wiseman",
="00105","Templeton 10Y Reserve","234",".75L","100","Infinium Spirits","300","Lauren Wiseman",
="00111","Jack Daniel's Sinatra","18","1.00L","36","Brown - Forman","36","Lauren Wiseman",
="00119","Redbreast 15Y","0",".75L","100","Pernod Ricard USA","100","Jack Wooten",
="00120","Jack Daniel's No. 27 Gold","0",".75L","88","Brown - Forman","88","Lauren Wiseman",
="00124","WhistlePig 15Y","182",".75L","180","WhistlePig","180","Jason Lemansky",
="00126","Midleton Very Rare Irish","82",".75L","80","Pernod Ricard USA","80","Jack Wooten",
="00131","Smooth Ambler Old Scout Bourbon","154",".75L","96","Pernod Ricard USA","96","Jack Wooten",
="00137","Hatozaki Small Batch Japanese Whisky","123",".75L","240","Marussia Beverages USA","240","Lauren Wiseman",
="00139","Yamato Special Edition","254",".75L","144","Aiko Importers, Inc","144","Jeffrey A. Morse, Jr.",
="00140","Nobushi Japanese Whisky","0",".75L","63","Park St Imp/ Trinity Beverage","63","Curtis Toth",
="00141","Wyoming Whiskey Double Cask","49",".75L","120","Edrington Americas","0","Lauren Wiseman",
="00202","Ardbeg Corryvreckan","76",".75L","200","Moet Hennessy","100","Garrett Miller",
="00203","Ardbeg Uigeadail","29",".75L","200","Moet Hennessy","100","Garrett Miller",
="00204","The Macallan Double Cask 18Y","0",".75L","60","Edrington Americas","60","Lauren Wiseman",
="00209","Glenmorangie Signet S.M.","27",".75L","256","Moet Hennessy","64","Garrett Miller",
="00211","Glenmorangie Non Age Nectar D'Or","20",".75L","80","Moet Hennessy","80","Garrett Miller",
="00214","Highland Park 18Y","21",".75L","168","Edrington Americas","84","Lauren Wiseman",
="00215","GlenDronach 12Y S.M.","193",".75L","100","Brown - Forman","100","Lauren Wiseman",
="00217","Auchentoshan Three Wood","140",".75L","110","Beam Suntory","110","Bill York",
="00218","Bruichladdich Port Charlotte 10Y","59",".75L","75","Remy Cointreau USA","75","Lauren Wiseman",
="00219","Bruichladdich Classic Laddie Scottish Barley","226",".75L","75","Remy Cointreau USA","300","Lauren Wiseman",
="00221","Ben Riach 10Y","0",".75L","100","Brown - Forman","100","Lauren Wiseman",
="00222","Bruichladdich Islay Barley","70",".75L","75","Remy Cointreau USA","75","Lauren Wiseman",
="00225","The Macallan Rare Cask","24",".75L","48","Edrington Americas","48","Lauren Wiseman",
="00226","Aberlour A'Bunadh","0",".75L","52","Pernod Ricard USA","52","Jack Wooten",
="00227","The Dalmore 15Y","142",".75L","75","E & J Gallo Winery","75","Donavan Campbell",
="00229","The Dalmore Port Wood Reserve","87",".75L","48","E & J Gallo Winery","48","Donavan Campbell",
="00231","The Dalmore Cigar Malt Reserve","35",".75L","48","E & J Gallo Winery","48","Donavan Campbell",
="00237","GlenDronach 15Y Revival","0",".75L","100","Brown - Forman","50","Lauren Wiseman",
="00411","Hangar One Straight","63",".75L","56","WI, Inc","56","Lauren Wiseman",
