"NC Code","Brand Name","Total Available","Size","Cases Per Pallet","Supplier","Supplier Allotment","Broker Name",
="00009","John J. Bowman Single Barrel 10Y","0",".75L","204","Sazerac Co.","204","Rick Henry",
="00026","Wyoming Whiskey Small Batch","81",".75L","120","Edrington Americas","0","Lauren Wiseman",
="00105","Templeton 10Y Reserve","0",".75L","100","Infinium Spirits","0","Lauren Wiseman",
="00111","Jack Daniel's Sinatra","0","1.00L","36","Brown - Forman","36","Lauren Wiseman",
="00119","Redbreast 15Y","0",".75L","100","Pernod Ricard USA","100","Jack Wooten",
="00120","Jack Daniel's No. 27 Gold","0",".75L","88","Brown - Forman","88","Lauren Wiseman",
="00124","WhistlePig 15Y","14",".75L","180","WhistlePig","180","Jason Lemansky",
="00126","Midleton Very Rare Irish","0",".75L","80","Pernod Ricard USA","80","Jack Wooten",
="00131","Smooth Ambler Old Scout Bourbon","0",".75L","96","Pernod Ricard USA","96","Jack Wooten",
="00137","Hatozaki Small Batch Japanese Whisky","25",".75L","240","Marussia Beverages USA","240","Lauren Wiseman",
="00139","Yamato Special Edition","105",".75L","144","Aiko Importers, Inc","144","Jeffrey A. Morse, Jr.",
="00140","Nobushi Japanese Whisky","102",".75L","63","Park St Imp/ Trinity Beverage","1","Curtis Toth",
="00202","Ardbeg Corryvreckan","0",".75L","200","Moet Hennessy","100","Garrett Miller",
="00203","Ardbeg Uigeadail","0",".75L","200","Moet Hennessy","100","Garrett Miller",
="00204","The Macallan Double Cask 18Y","116",".75L","60","Edrington Americas","60","Lauren Wiseman",
="00209","Glenmorangie Signet S.M.","0",".75L","256","Moet Hennessy","64","Garrett Miller",
="00211","Glenmorangie Non Age Nectar D'Or","0",".75L","80","Moet Hennessy","80","Garrett Miller",
="00214","Highland Park 18Y","5",".75L","168","Edrington Americas","84","Lauren Wiseman",
="00215","GlenDronach 12Y S.M.","202",".75L","100","Brown - Forman","100","Lauren Wiseman",
="00217","Auchentoshan Three Wood","89",".75L","110","Beam Suntory","110","Bill York",
="00218","Bruichladdich Port Charlotte 10Y","106",".75L","75","Remy Cointreau USA","75","Lauren Wiseman",
="00219","Bruichladdich Classic Laddie Scottish Barley","162",".75L","75","Remy Cointreau USA","75","Lauren Wiseman",
="00221","Ben Riach 10Y","0",".75L","100","Brown - Forman","100","Lauren Wiseman",
="00222","Bruichladdich Islay Barley","79",".75L","75","Remy Cointreau USA","75","Lauren Wiseman",
="00225","The Macallan Rare Cask","0",".75L","48","Edrington Americas","48","Lauren Wiseman",
="00226","Aberlour A'Bunadh","93",".75L","52","Pernod Ricard USA","52","Jack Wooten",
="00227","The Dalmore 15Y","38",".75L","75","E & J Gallo Winery","75","Donavan Campbell",
="00229","The Dalmore Port Wood Reserve","195",".75L","48","E & J Gallo Winery","48","Donavan Campbell",
="00231","The Dalmore Cigar Malt Reserve","478",".75L","48","E & J Gallo Winery","48","Donavan Campbell",
="00237","GlenDronach 15Y Revival","0",".75L","100","Brown - Forman","50","Lauren Wiseman",
="00411","Hangar One Straight","0",".75L","56","WI, Inc","56","Lauren Wiseman",
="00659","D'Usse XO Cognac","0",".75L","25","Bacardi USA","30","Barry Sessoms",
="00668","Remy Martin Tercet","111",".75L","70","Remy Cointreau USA","0","Lauren Wiseman",
="00703","Grand Marnier 100Y","182",".75L","60","Campari America","60","Barry Sessoms",
="00707","Agavero Orange Tequila Liqueur","0",".75L","39","WI, Inc","64","Lauren Wiseman",
="00710","Cynar","113","1.00L","44","Campari America","44","Barry Sessoms",
="00806","Santo Fino Reposado","5",".75L","152","Shaw-Ross International","152","Barry Sessoms",
="00807","Adictivo Extra Anejo","271",".75L","156","Marsalle/Stoller Imports","156","Jeffrey A. Morse, Jr.",
="00810","Jose Cuervo Reserva de Familia","66",".75L","100","Proximo Spirits","100","Lauren Wiseman",
="00820","Mezcal Vago Elote","58",".75L","40","Heaven Hill","40","Nick Pourasef",
="00823","Patron Reposado","0","1.75L","56","Bacardi USA","112","Barry Sessoms",
="00824","Patron Anejo","0","1.75L","56","Bacardi USA","112","Barry Sessoms",
="00825","Los Vecinos Mezcal","55",".75L","112","Sazerac Co.","112","Rick Henry",
="00827","Casa Dragones 16 Joven Tequila","1",".75L","96","MHW/ Casa Dragones","96","Bill York",
="00832","Azteca Azul Plata","0",".75L","120","Global Beverage Team LLC","0","Donavan Campbell",
="19312","Bardstown Bourbon Co. Discovery Series","0",".75L","100","Bardstown Bourbon Company","0","Nick Pourasef",
="19313","American Highway","4",".75L","100","Bardstown Bourbon Company","0","Nick Pourasef",
="19314","Knob Creek Rye W/ Jigger","0",".75L","50","Beam Suntory","0","Bill York",
="19315","Hendrick's Neptunia Gin","0",".75L","120","William Grant & Sons","0","Donavan Campbell",
="19316","Sagamore Double Oak Rye","0",".75L","95","Sagamore Spirit","0","Lauren Wiseman",
="19318","Stagg Single Barrel Select (BTB)","0",".75L","100","Sazerac Co.","0","Rick Henry",
="19323","Barrell Craft Gray Label Seagrass","0",".75L","80","MHW/ Barrell Craft","0","Barry Sessoms",
="19324","Barrell Craft Gold Label Bourbon","0",".75L","80","MHW/ Barrell Craft","0","Barry Sessoms",
="19325","Royal Lochnagar 16YR","0",".75L","80","Diageo NA","0","Garrett Miller",
="19326","Talisker 8YR","0",".75L","80","Diageo NA","0","Garrett Miller",
="19327","Singleton of Glendullan 19YR","0",".75L","72","Diageo NA","0","Garrett Miller",
="19328","Oban 12YR","0",".75L","80","Diageo NA","0","Garrett Miller",
="19329","Mortlach 13YR","0",".75L","96","Diageo NA","0","Garrett Miller",
="19330","Lagavulin 26YR","0",".75L","48","Diageo NA","0","Garrett Miller",
="19331","Lagavulin 12Y","0",".75L","80","Diageo NA","0","Garrett Miller",
