"NC Code","Brand Name","Total Available","Size","Cases Per Pallet","Supplier","Supplier Allotment","Broker Name",
="00009","John J. Bowman Single Barrel 10Y","0",".75L","204","Sazerac Co.","204","Rick Henry",
="00026","Wyoming Whiskey Small Batch","64",".75L","120","Edrington Americas","120","Lauren Wiseman",
="00028","Garrison Brothers Small Batch Bourbon","317",".75L","100","Garrison Brothers Distillery","0","Lauren Wiseman",
="00105","Templeton 10Y Reserve","53",".75L","100","Infinium Spirits","0","Lauren Wiseman",
="00111","Jack Daniel's Sinatra","0","1.00L","36","Brown - Forman","36","Lauren Wiseman",
="00119","Redbreast 15Y","0",".75L","100","Pernod Ricard USA","100","Jack Wooten",
="00120","Jack Daniel's No. 27 Gold","0",".75L","88","Brown - Forman","88","Lauren Wiseman",
="00124","WhistlePig 15Y","137",".75L","180","WhistlePig","180","Jason Lemansky",
="00126","Midleton Very Rare Irish","0",".75L","80","Pernod Ricard USA","80","Jack Wooten",
="00131","Smooth Ambler Old Scout Bourbon","131",".75L","96","Pernod Ricard USA","96","Jack Wooten",
="00137","Hatozaki Small Batch Japanese Whisky","66",".75L","240","Marussia Beverages USA","240","Lauren Wiseman",
="00139","Yamato Special Edition","59",".75L","144","Aiko Importers, Inc","144","Jeffrey A. Morse, Jr.",
="00140","Nobushi Japanese Whisky","130",".75L","63","Park St Imp/ Trinity Beverage","1","Curtis Toth",
="00202","Ardbeg Corryvreckan","76",".75L","200","Moet Hennessy","100","Garrett Miller",
="00203","Ardbeg Uigeadail","53",".75L","200","Moet Hennessy","100","Garrett Miller",
="00204","The Macallan Double Cask 18Y","0",".75L","60","Edrington Americas","60","Lauren Wiseman",
="00209","Glenmorangie Signet S.M.","39",".75L","256","Moet Hennessy","64","Garrett Miller",
="00211","Glenmorangie Non Age Nectar D'Or","0",".75L","80","Moet Hennessy","80","Garrett Miller",
="00214","Highland Park 18Y","12",".75L","168","Edrington Americas","84","Lauren Wiseman",
="00215","GlenDronach 12Y S.M.","98",".75L","100","Brown - Forman","100","Lauren Wiseman",
="00217","Auchentoshan Three Wood","16",".75L","110","Beam Suntory","110","Bill York",
